"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202602","2호선","충정로(경기대입구)","14","1","2779","1066","5224","6556","12626","19508","19492","51848","13676","23182","10971","10895","11388","9623","11899","10376","12087","12520","12038","10616","12849","11560","15684","12598","29617","15488","38077","19245","13665","13713","9492","10302","8083","9763","5306","8332","2217","5344","492","1487","1","21","0","0","0","0","20260303"
"202602","2호선","한양대","2","1","838","584","2293","6476","4679","10554","7516","30853","5912","33914","5740","18845","9167","12455","10585","14819","11378","17606","11050","12953","15088","10231","21755","9020","32354","9419","27030","10075","12591","7163","9136","5400","8143","4991","6891","4746","3893","3337","818","1003","0","2","0","0","0","0","20260303"
"202602","2호선","합정","78","3","8845","2256","13795","10352","31295","25953","41554","74387","29348","69343","23175","46763","26369","46611","33395","51030","37239","55937","39588","50439","44851","52862","52136","61060","68635","76146","96741","96725","67769","65899","59949","38887","64575","30622","58621","26233","30776","18931","4851","6761","3","82","0","0","0","0","20260303"
"202602","2호선","홍대입구","742","35","20634","2763","24882","16298","48963","32184","64314","90941","50791","115893","50798","110723","59357","135895","71321","163576","85527","177136","100008","171046","122282","169189","150815","167792","175319","182099","199587","200928","175835","147937","171445","95355","185209","72563","169923","58273","82632","38946","9748","14414","9","1655","0","0","0","0","20260303"
"202602","3호선","가락시장","47","17","2438","631","6265","4600","16857","8757","19372","22261","13996","12331","13355","9874","13132","10727","13531","11836","13648","12330","14072","12550","14748","14158","15093","14688","17982","18233","23257","23257","10754","16190","8625","10512","7289","8969","5042","8433","2124","4376","397","1449","0","22","0","0","0","0","20260303"
"202602","3호선","경복궁(정부서울청사)","13","2","1974","1334","4731","12553","10760","33036","17089","106404","17858","64663","16725","50903","22469","54877","29378","51753","37595","52960","45961","44652","56765","37401","66976","31652","80585","28922","97461","28139","43937","18292","35560","10929","31466","9506","19720","8181","7202","4520","861","1234","1","5","0","0","0","0","20260303"
"202602","3호선","경찰병원","7","0","2807","268","6825","3035","19021","8152","21826","22642","13476","13870","10613","7925","9997","6051","9669","8141","9457","9093","9844","8099","10084","9019","9711","9079","13862","14049","16307","19286","6503","14464","4892","9339","4028","7897","2908","7525","919","4486","93","1167","0","0","0","0","0","0","20260303"
"202602","3호선","고속터미널","131","3","4948","3788","6704","30413","20789","44475","39936","71232","49546","92640","56912","95006","71636","102735","85177","96429","93029","99541","102895","102834","118560","106294","126100","106153","136796","110722","129502","110610","111026","71665","120418","45906","72694","35173","46635","24856","16976","11715","2043","2064","0","9","0","0","0","0","20260303"
"202602","3호선","교대(법원.검찰청)","40","1","1531","685","3938","5703","8572","14798","13171","40236","11665","31044","12572","15180","16409","11600","20230","10895","23551","11592","26625","10069","28170","9299","31636","10320","44684","14213","60005","16403","29441","9524","25307","5524","24552","4331","17423","3863","7177","2091","1098","770","0","2","0","0","0","0","20260303"
"202602","3호선","구파발","143","0","10225","1338","27164","7703","66207","16767","67867","23312","38903","23362","29122","25430","30314","25650","31798","26802","31324","29558","32269","30274","35669","31056","35856","36279","35938","43314","29111","66113","20142","53974","16202","32300","13726","28053","10608","24261","3033","16821","525","6809","0","121","3","2","0","0","20260303"
